TERRITORIO,TERRITORIO_CODE,TIME_PERIOD,TIME_PERIOD_CODE,SEXO,SEXO_CODE,SECTOR_EJECUCION,SECTOR_EJECUCION_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION_CODE,ESTADO_OBSERVACION,NOTAS_OBSERVACION
Cantabria,ES13,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,583.8,,,,
Cantabria,ES13,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2526.7,,,,
Cantabria,ES13,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1446.6,,,,
Cantabria,ES13,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1080.1,,,,
Cantabria,ES13,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1700.5,,,,
Cantabria,ES13,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,950.9,,,,
Cantabria,ES13,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,749.6,,,,
País Vasco,ES21,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,21498.5,,,,
País Vasco,ES21,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,13667.7,,,,
País Vasco,ES21,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,7830.8,,,,
País Vasco,ES21,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,14427.1,,,,
País Vasco,ES21,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,9160.8,,,,
País Vasco,ES21,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,5266.3,,,,
País Vasco,ES21,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,22446.3,,,,
País Vasco,ES21,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,13973.6,,,,
País Vasco,ES21,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,8472.7,,,,
País Vasco,ES21,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,14733.1,,,,
País Vasco,ES21,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,9354.7,,,,
País Vasco,ES21,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,5378.4,,,,
País Vasco,ES21,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,23996.6,,,,
País Vasco,ES21,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,15022.1,,,,
País Vasco,ES21,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,8974.5,,,,
País Vasco,ES21,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,16170.8,,,,
País Vasco,ES21,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,10218.6,,,,
País Vasco,ES21,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,5952.2,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,5301.0,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,3211.7,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2089.3,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3163.3,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1866.6,,,,
Comunidad Foral de Navarra,ES22,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1296.7,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,5346.3,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,3212,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2134.3,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3264.4,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1939.3,,,,
Comunidad Foral de Navarra,ES22,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1325.1,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,5920.9,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,3491.8,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2429.1,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,3434.4,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1982.8,,,,
Comunidad Foral de Navarra,ES22,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1451.6,,,,
La Rioja,ES23,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1305.9,,,,
La Rioja,ES23,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,726.4,,,,
La Rioja,ES23,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,579.5,,,,
